block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
407,TAMPINES ST 41,07 TO 09,60,Improved,1985,65.92,270000,2018-11,0.0573088,3 ROOM
824,TAMPINES ST 81,01 TO 03,67,New Generation,1988,68.25,275000,2018-11,0.0573088,3 ROOM
801,TAMPINES AVE 4,01 TO 03,68,New Generation,1984,64.67,300000,2018-11,0.0573088,3 ROOM
217,TAMPINES ST 23,01 TO 03,67,New Generation,1986,66.25,302000,2018-11,0.0573088,3 ROOM
803,TAMPINES AVE 4,04 TO 06,67,New Generation,1984,65.08,308000,2018-11,0.0573088,3 ROOM
819,TAMPINES ST 81,07 TO 09,68,New Generation,1984,65.08,308000,2018-11,0.0573088,3 ROOM
806,TAMPINES AVE 4,01 TO 03,73,Model A,1984,64.33,310000,2018-11,0.0573088,3 ROOM
299A,TAMPINES ST 22,01 TO 03,65,Model A,2012,92.33,310000,2018-11,0.0573088,3 ROOM
110,TAMPINES ST 11,10 TO 12,74,Model A,1984,64.33,315000,2018-11,0.0573088,3 ROOM
241,TAMPINES ST 21,04 TO 06,74,Model A,1985,65.17,317000,2018-11,0.0573088,3 ROOM
846,TAMPINES ST 82,07 TO 09,74,Model A,1986,66.25,318000,2018-11,0.0573088,3 ROOM
270,TAMPINES ST 21,01 TO 03,75,Model A,1985,66.17,320000,2018-11,0.0573088,3 ROOM
219,TAMPINES ST 24,04 TO 06,73,Model A,1985,65.25,320000,2018-11,0.0573088,3 ROOM
227,TAMPINES ST 23,04 TO 06,67,New Generation,1986,66.42,325000,2018-11,0.0573088,3 ROOM
228,TAMPINES ST 23,01 TO 03,67,New Generation,1985,65.17,326000,2018-11,0.0573088,3 ROOM
102,TAMPINES ST 11,01 TO 03,75,Model A,1983,64,328000,2018-11,0.0573088,3 ROOM
274,TAMPINES ST 22,04 TO 06,73,Model A,1984,64.67,328000,2018-11,0.0573088,3 ROOM
224,TAMPINES ST 23,01 TO 03,67,New Generation,1985,66.08,328000,2018-11,0.0573088,3 ROOM
102,TAMPINES ST 11,04 TO 06,79,Model A,1983,63.92,330000,2018-11,0.0573088,3 ROOM
817,TAMPINES ST 81,04 TO 06,73,Model A,1984,64.83,330000,2018-11,0.0573088,3 ROOM
884,TAMPINES ST 83,10 TO 12,74,Model A,1988,68.58,338000,2018-11,0.0573088,3 ROOM
818,TAMPINES ST 81,04 TO 06,73,Model A,1984,64.58,340000,2018-11,0.0573088,3 ROOM
883,TAMPINES ST 84,07 TO 09,74,Model A,1988,68.5,343000,2018-11,0.0573088,3 ROOM
240,TAMPINES ST 21,04 TO 06,74,Model A,1984,64.75,345000,2018-11,0.0573088,3 ROOM
851,TAMPINES ST 83,10 TO 12,74,Model A,1987,68,352000,2018-11,0.0573088,3 ROOM
881,TAMPINES ST 84,10 TO 12,74,Model A,1988,68.67,355000,2018-11,0.0573088,3 ROOM
907,TAMPINES AVE 4,01 TO 03,83,Model A,1984,64.83,368000,2018-11,0.0573088,3 ROOM
499B,TAMPINES AVE 9,07 TO 09,67,Model A,2014,94.42,380000,2018-11,0.0573088,3 ROOM
139,SIMEI ST 1,01 TO 03,70,Simplified,1987,68,350000,2018-12,0.0573088,3 ROOM
810,TAMPINES AVE 4,04 TO 06,73,Model A,1984,64.67,320000,2018-12,0.0573088,3 ROOM
499A,TAMPINES AVE 9,04 TO 06,67,Model A,2014,94.25,380000,2018-12,0.0573088,3 ROOM
144,TAMPINES ST 12,07 TO 09,74,Model A,1985,65.25,340000,2018-12,0.0573088,3 ROOM
204,TAMPINES ST 21,04 TO 06,60,Improved,1983,64,268000,2018-12,0.0573088,3 ROOM
269,TAMPINES ST 21,04 TO 06,79,Model A,1984,64.33,324000,2018-12,0.0573088,3 ROOM
234,TAMPINES ST 21,04 TO 06,73,Model A,1984,65,360000,2018-12,0.0573088,3 ROOM
267,TAMPINES ST 21,07 TO 09,75,Model A,1983,63.58,347000,2018-12,0.0573088,3 ROOM
272,TAMPINES ST 22,07 TO 09,73,Model A,1984,64.67,315000,2018-12,0.0573088,3 ROOM
292,TAMPINES ST 22,04 TO 06,67,New Generation,1985,65.33,290000,2018-12,0.0573088,3 ROOM
297,TAMPINES ST 22,10 TO 12,73,Model A,1984,64.42,375000,2018-12,0.0573088,3 ROOM
292,TAMPINES ST 22,01 TO 03,67,New Generation,1985,65.25,300000,2018-12,0.0573088,3 ROOM
405,TAMPINES ST 41,04 TO 06,60,Improved,1985,65.92,300000,2018-12,0.0573088,3 ROOM
450,TAMPINES ST 42,01 TO 03,74,Model A,1985,65.17,326000,2018-12,0.0573088,3 ROOM
444,TAMPINES ST 42,04 TO 06,74,Model A,1985,65.42,315000,2018-12,0.0573088,3 ROOM
436,TAMPINES ST 43,01 TO 03,74,Model A,1986,66.83,306888,2018-12,0.0573088,3 ROOM
467,TAMPINES ST 44,01 TO 03,74,Model A,1987,67.42,317000,2018-12,0.0573088,3 ROOM
814,TAMPINES ST 81,04 TO 06,73,Model A,1984,64.75,320000,2018-12,0.0573088,3 ROOM
899,TAMPINES ST 81,04 TO 06,74,Model A,1988,68.42,338000,2018-12,0.0573088,3 ROOM
830,TAMPINES ST 82,01 TO 03,64,Simplified,1986,66.25,298000,2018-12,0.0573088,3 ROOM
924,TAMPINES ST 91,07 TO 09,73,Model A,1983,63.92,333000,2018-12,0.0573088,3 ROOM
914,TAMPINES ST 91,10 TO 12,73,Model A,1984,64.75,360000,2018-12,0.0573088,3 ROOM
275,TAMPINES ST 22,01 TO 03,73,Model A,1985,65,300000,2019-01,0.0573088,3 ROOM
417,TAMPINES ST 41,07 TO 09,60,Improved,1985,65.92,260000,2019-01,0.0573088,3 ROOM
204,TAMPINES ST 21,07 TO 09,60,Improved,1983,63.92,280000,2019-01,0.0573088,3 ROOM
104,TAMPINES ST 11,07 TO 09,75,Model A,1982,62.75,290000,2019-01,0.0573088,3 ROOM
287,TAMPINES ST 22,01 TO 03,74,Model A,1984,64.58,305000,2019-01,0.0573088,3 ROOM
814,TAMPINES ST 81,01 TO 03,73,Model A,1984,64.67,305000,2019-01,0.0573088,3 ROOM
215,TAMPINES ST 23,01 TO 03,67,New Generation,1985,65.75,306000,2019-01,0.0573088,3 ROOM
204,TAMPINES ST 21,04 TO 06,60,Improved,1983,64,308000,2019-01,0.0573088,3 ROOM
104,TAMPINES ST 11,01 TO 03,75,Model A,1982,62.83,310000,2019-01,0.0573088,3 ROOM
295,TAMPINES ST 22,01 TO 03,73,Model A,1984,64.25,311500,2019-01,0.0573088,3 ROOM
