block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
4,LOR LEW LIAN,04 TO 06,64,Improved,1978,58.58,252000,2018-10,0.0573088,3 ROOM
107,SERANGOON NTH AVE 1,10 TO 12,60,Improved,1984,64.92,265000,2018-10,0.0573088,3 ROOM
2,LOR LEW LIAN,10 TO 12,64,Improved,1983,63.67,318000,2018-10,0.0573088,3 ROOM
2,LOR LEW LIAN,04 TO 06,64,Improved,1983,63.67,318888,2018-10,0.0573088,3 ROOM
223,SERANGOON AVE 4,07 TO 09,67,New Generation,1984,65.17,323000,2018-10,0.0573088,3 ROOM
206,SERANGOON CTRL,04 TO 06,64,Simplified,1985,66.17,378000,2018-10,0.0573088,3 ROOM
323,SERANGOON AVE 3,01 TO 03,64,Simplified,1985,66.08,375000,2018-11,0.0573088,3 ROOM
107,SERANGOON NTH AVE 1,01 TO 03,60,Improved,1984,64.83,230000,2018-11,0.0573088,3 ROOM
151,SERANGOON NTH AVE 2,01 TO 03,63,Simplified,1986,66.67,257000,2018-11,0.0573088,3 ROOM
219,SERANGOON AVE 4,04 TO 06,67,New Generation,1984,65.17,288000,2018-11,0.0573088,3 ROOM
5,LOR LEW LIAN,01 TO 03,73,Improved,1978,58.5,330000,2018-11,0.0573088,3 ROOM
326,SERANGOON AVE 3,04 TO 06,64,Simplified,1985,66.08,338000,2018-11,0.0573088,3 ROOM
301,SERANGOON AVE 2,01 TO 03,82,New Generation,1985,65.17,360000,2018-11,0.0573088,3 ROOM
207,SERANGOON CTRL,04 TO 06,64,Simplified,1986,66.42,378000,2018-11,0.0573088,3 ROOM
3,LOR LEW LIAN,10 TO 12,64,Improved,1978,58.42,330000,2018-12,0.0573088,3 ROOM
218,SERANGOON AVE 4,04 TO 06,67,New Generation,1985,65.25,298000,2018-12,0.0573088,3 ROOM
223,SERANGOON AVE 4,07 TO 09,67,New Generation,1984,65,300000,2018-12,0.0573088,3 ROOM
230,SERANGOON AVE 4,01 TO 03,67,New Generation,1985,65.17,290000,2018-12,0.0573088,3 ROOM
201,SERANGOON CTRL,04 TO 06,64,Simplified,1985,66,325000,2018-12,0.0573088,3 ROOM
115,SERANGOON NTH AVE 1,01 TO 03,75,New Generation,1985,65.25,280000,2018-12,0.0573088,3 ROOM
153,SERANGOON NTH AVE 1,01 TO 03,63,Simplified,1986,66.58,250000,2018-12,0.0573088,3 ROOM
108,SERANGOON NTH AVE 1,04 TO 06,70,Improved,1985,65.08,250000,2019-01,0.0573088,3 ROOM
105,SERANGOON NTH AVE 1,10 TO 12,69,Improved,1985,65.25,265000,2019-01,0.0573088,3 ROOM
214,SERANGOON AVE 4,04 TO 06,67,New Generation,1985,65.08,270000,2019-01,0.0573088,3 ROOM
104,SERANGOON NTH AVE 1,01 TO 03,72,New Generation,1984,64.83,300000,2019-01,0.0573088,3 ROOM
1,LOR LEW LIAN,13 TO 15,64,Improved,1978,58.42,340000,2019-01,0.0573088,3 ROOM
263,SERANGOON CTRL DR,04 TO 06,64,Simplified,1988,68.67,360000,2019-01,0.0573088,3 ROOM
152,SERANGOON NTH AVE 1,04 TO 06,64,Simplified,1986,66.92,244500,2019-02,0.0573088,3 ROOM
124,SERANGOON NTH AVE 1,01 TO 03,67,New Generation,1985,64.92,270000,2019-02,0.0573088,3 ROOM
302,SERANGOON AVE 2,10 TO 12,60,Improved,1985,65.08,335000,2019-02,0.0573088,3 ROOM
210,SERANGOON CTRL,04 TO 06,64,Simplified,1985,65.58,345000,2019-02,0.0573088,3 ROOM
147,SERANGOON NTH AVE 1,07 TO 09,64,Simplified,1988,68.42,265000,2019-03,0.0573088,3 ROOM
105,SERANGOON NTH AVE 1,04 TO 06,70,Improved,1985,65.17,269888,2019-03,0.0573088,3 ROOM
105,SERANGOON NTH AVE 1,10 TO 12,70,Improved,1985,65.08,285000,2019-03,0.0573088,3 ROOM
218,SERANGOON AVE 4,07 TO 09,67,New Generation,1985,64.92,305000,2019-03,0.0573088,3 ROOM
5,LOR LEW LIAN,10 TO 12,64,Improved,1978,58.17,310000,2019-03,0.0573088,3 ROOM
225,SERANGOON AVE 4,01 TO 03,67,New Generation,1985,65,310000,2019-03,0.0573088,3 ROOM
2,LOR LEW LIAN,04 TO 06,64,Improved,1983,63.25,312000,2019-03,0.0573088,3 ROOM
243,SERANGOON AVE 2,01 TO 03,64,Simplified,1985,65.67,335000,2019-03,0.0573088,3 ROOM
243,SERANGOON AVE 2,04 TO 06,64,Simplified,1985,65.67,335000,2019-03,0.0573088,3 ROOM
306,SERANGOON AVE 2,10 TO 12,60,Improved,1985,65,343000,2019-03,0.0573088,3 ROOM
263,SERANGOON CTRL DR,04 TO 06,64,Simplified,1988,68.42,360000,2019-03,0.0573088,3 ROOM
203,SERANGOON CTRL,10 TO 12,64,Simplified,1986,65.83,430000,2019-03,0.0573088,3 ROOM
151,SERANGOON NTH AVE 2,04 TO 06,64,Simplified,1986,66.25,248000,2019-04,0.0573088,3 ROOM
1,LOR LEW LIAN,01 TO 03,64,Improved,1978,58.08,250000,2019-04,0.0573088,3 ROOM
152,SERANGOON NTH AVE 1,04 TO 06,64,Simplified,1986,66.75,255000,2019-04,0.0573088,3 ROOM
124,SERANGOON NTH AVE 1,01 TO 03,67,New Generation,1985,64.75,262000,2019-04,0.0573088,3 ROOM
110,SERANGOON NTH AVE 1,04 TO 06,67,New Generation,1984,64.67,270000,2019-04,0.0573088,3 ROOM
230,SERANGOON AVE 4,04 TO 06,67,New Generation,1985,64.83,292000,2019-04,0.0573088,3 ROOM
230,SERANGOON AVE 4,01 TO 03,67,New Generation,1985,64.92,295000,2019-04,0.0573088,3 ROOM
306,SERANGOON AVE 2,04 TO 06,69,Improved,1985,64.92,300000,2019-04,0.0573088,3 ROOM
5,LOR LEW LIAN,10 TO 12,64,Improved,1978,58.17,310000,2019-04,0.0573088,3 ROOM
222,SERANGOON AVE 4,10 TO 12,67,New Generation,1985,65.42,318000,2019-04,0.0573088,3 ROOM
