block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
269,YISHUN ST 22,04 TO 06,64,Simplified,1988,68.17,220000,2019-03,0.0573088,3 ROOM
709,YISHUN AVE 5,01 TO 03,68,New Generation,1984,64.08,235000,2019-03,0.0573088,3 ROOM
108,YISHUN RING RD,01 TO 03,60,Improved,1985,64.83,235000,2019-03,0.0573088,3 ROOM
139,YISHUN RING RD,01 TO 03,68,New Generation,1984,64.58,240000,2019-03,0.0573088,3 ROOM
127,YISHUN ST 11,01 TO 03,67,New Generation,1984,64.75,240000,2019-03,0.0573088,3 ROOM
409,YISHUN RING RD,01 TO 03,74,Model A,1988,68.75,240000,2019-03,0.0573088,3 ROOM
286,YISHUN AVE 6,10 TO 12,74,Model A,1987,67.33,248000,2019-03,0.0573088,3 ROOM
127,YISHUN ST 11,01 TO 03,67,New Generation,1984,64.75,248000,2019-03,0.0573088,3 ROOM
108,YISHUN RING RD,04 TO 06,67,New Generation,1985,64.83,250000,2019-03,0.0573088,3 ROOM
115,YISHUN RING RD,07 TO 09,74,Model A,1983,63.33,250000,2019-03,0.0573088,3 ROOM
731,YISHUN ST 72,04 TO 06,67,New Generation,1984,64.33,250000,2019-03,0.0573088,3 ROOM
144,YISHUN ST 11,01 TO 03,68,New Generation,1984,64.58,250000,2019-03,0.0573088,3 ROOM
147,YISHUN ST 11,01 TO 03,67,New Generation,1985,65.5,250000,2019-03,0.0573088,3 ROOM
228,YISHUN ST 21,01 TO 03,67,New Generation,1985,65.75,250000,2019-03,0.0573088,3 ROOM
115,YISHUN RING RD,04 TO 06,77,Model A,1983,63.33,252000,2019-03,0.0573088,3 ROOM
345,YISHUN AVE 11,10 TO 12,74,Model A,1988,68.5,255000,2019-03,0.0573088,3 ROOM
144,YISHUN ST 11,01 TO 03,68,New Generation,1984,64.58,255000,2019-03,0.0573088,3 ROOM
115,YISHUN RING RD,01 TO 03,74,Model A,1983,63.33,260000,2019-03,0.0573088,3 ROOM
224,YISHUN ST 21,07 TO 09,67,New Generation,1985,65.42,264888,2019-03,0.0573088,3 ROOM
108,YISHUN RING RD,04 TO 06,67,New Generation,1985,64.83,265000,2019-03,0.0573088,3 ROOM
113,YISHUN RING RD,07 TO 09,64,Simplified,1986,66,265000,2019-03,0.0573088,3 ROOM
861,YISHUN AVE 4,07 TO 09,74,Model A,1989,68.92,270000,2019-03,0.0573088,3 ROOM
228,YISHUN ST 21,04 TO 06,67,New Generation,1985,65.75,270000,2019-03,0.0573088,3 ROOM
122,YISHUN ST 11,07 TO 09,71,New Generation,1984,64.75,272000,2019-03,0.0573088,3 ROOM
215,YISHUN ST 21,04 TO 06,67,New Generation,1985,64.83,272000,2019-03,0.0573088,3 ROOM
630,YISHUN ST 61,07 TO 09,73,Model A,1988,68.08,275000,2019-03,0.0573088,3 ROOM
222,YISHUN ST 21,04 TO 06,67,New Generation,1985,65.5,275000,2019-03,0.0573088,3 ROOM
205,YISHUN ST 21,01 TO 03,67,New Generation,1985,64.92,280000,2019-03,0.0573088,3 ROOM
218,YISHUN ST 21,01 TO 03,68,New Generation,1985,65.33,280000,2019-03,0.0573088,3 ROOM
451,YISHUN RING RD,01 TO 03,67,Model A,2012,92.42,283000,2019-03,0.0573088,3 ROOM
459,YISHUN AVE 11,07 TO 09,67,Model A,2013,93.42,290000,2019-03,0.0573088,3 ROOM
424A,YISHUN AVE 11,13 TO 15,67,Model A,2015,95.75,300000,2019-03,0.0573088,3 ROOM
333B,YISHUN ST 31,01 TO 03,67,Model A,2015,95.67,300000,2019-03,0.0573088,3 ROOM
424A,YISHUN AVE 11,07 TO 09,67,Model A,2015,95.75,310000,2019-03,0.0573088,3 ROOM
442,YISHUN AVE 11,10 TO 12,67,Model A,2012,92.33,311000,2019-03,0.0573088,3 ROOM
303,YISHUN CTRL,10 TO 12,74,Model A,1988,68.67,320000,2019-03,0.0573088,3 ROOM
707,YISHUN AVE 5,04 TO 06,68,New Generation,1984,64,230000,2019-04,0.0573088,3 ROOM
717,YISHUN ST 71,07 TO 09,64,Simplified,1987,67.5,234000,2019-04,0.0573088,3 ROOM
268,YISHUN ST 22,04 TO 06,64,Simplified,1985,65.67,240000,2019-04,0.0573088,3 ROOM
716,YISHUN ST 71,07 TO 09,64,Simplified,1987,67.5,240000,2019-04,0.0573088,3 ROOM
110,YISHUN RING RD,01 TO 03,64,Simplified,1986,65.92,244000,2019-04,0.0573088,3 ROOM
114,YISHUN RING RD,07 TO 09,74,Model A,1983,63.25,245000,2019-04,0.0573088,3 ROOM
243,YISHUN RING RD,07 TO 09,64,Simplified,1985,65.42,248000,2019-04,0.0573088,3 ROOM
118,YISHUN RING RD,01 TO 03,77,Model A,1983,63.25,248000,2019-04,0.0573088,3 ROOM
256,YISHUN RING RD,01 TO 03,64,Simplified,1985,65.17,250000,2019-04,0.0573088,3 ROOM
736,YISHUN ST 72,01 TO 03,67,New Generation,1984,64.5,250000,2019-04,0.0573088,3 ROOM
409,YISHUN RING RD,04 TO 06,74,Model A,1988,68.67,255000,2019-04,0.0573088,3 ROOM
140,YISHUN RING RD,01 TO 03,68,New Generation,1985,65,255000,2019-04,0.0573088,3 ROOM
353,YISHUN RING RD,01 TO 03,74,Model A,1989,68.75,256888,2019-04,0.0573088,3 ROOM
130,YISHUN ST 11,07 TO 09,74,Model A,1985,64.92,257000,2019-04,0.0573088,3 ROOM
354,YISHUN RING RD,10 TO 12,74,Model A,1989,68.83,258000,2019-04,0.0573088,3 ROOM
124,YISHUN ST 11,04 TO 06,67,New Generation,1985,65.42,260000,2019-04,0.0573088,3 ROOM
852,YISHUN ST 81,01 TO 03,74,Model A,1988,67.92,270000,2019-04,0.0573088,3 ROOM
113,YISHUN RING RD,07 TO 09,64,Simplified,1986,65.92,272000,2019-04,0.0573088,3 ROOM
661,YISHUN AVE 4,10 TO 12,64,Simplified,1992,72.17,272000,2019-04,0.0573088,3 ROOM
217,YISHUN ST 21,07 TO 09,68,New Generation,1985,65.5,275000,2019-04,0.0573088,3 ROOM
